Frequency(Hz)	RCS(m²)
11467194388.777554	0.0025554812658223447
11507254509.018036	0.0025405205783534035
11547314629.258516	0.002519418478116321
11587374749.498997	0.00249247575486022
11627434869.73948	0.002460059490091907
11667494989.97996	0.0024225980737764812
11707555110.22044	0.0023805755854716133
11747615230.46092	0.0023345256109559374
11787675350.701403	0.0022850245686400197
11827735470.941883	0.0022326846226740416
11867795591.182364	0.0021781462618016764
11907855711.422846	0.0021220706247413023
11947915831.663326	0.002065131654260485
11987975951.903807	0.0020080081631704606
12028036072.144287	0.0019513758961926812
12068096192.38477	0.0018958996719944962
12108156312.62525	0.0018422256895820742
12148216432.86573	0.001790974082578283
12188276553.106213	0.0017427318035894985
12228336673.346693	0.0016980459187580827
12268396793.587173	0.0016574173895902429
12308456913.827654	0.0016212954151396369
12348517034.068136	0.0015900724025315013
12388577154.308617	0.0015640796275826277
12428637274.549097	0.0015435836398938409
12468697394.789577	0.0015287834582958769
12508757515.03006	0.0015198085929913146
12548817635.27054	0.0015167179202777341
12588877755.51102	0.001519499424525835
12628937875.751503	0.0015280708103257213
12668997995.991983	0.001542280975641371
12709058116.232464	0.0015619123246859788
12749118236.472944	0.0015866838873203348
12789178356.713427	0.0016162552003528784
12829238476.953907	0.001650230895445045
12869298597.194387	0.0016881659286352014
12909358717.43487	0.001729571377997121
12949418837.67535	0.0017739207288106032
12989478957.91583	0.001820656559964373
13029539078.156311	0.0018691975412081798
13069599198.396793	0.0019189456483462697
13109659318.637274	0.001969293502493676
13149719438.877754	0.00201963174003573
13189779559.118237	0.0020693563218310766
13229839679.358717	0.002117875693353345
13269899799.599197	0.002164617711710987
13309959919.839678	0.002209036260660177
13350020040.08016	0.0022506174806546163
13390080160.32064	0.0022888855474918965
13430140280.561121	0.002323407940063266
13470200400.801601	0.0023538001449511874
13510260521.042084	0.0023797297530245634
13550320641.282564	0.0024009199106643465
13590380761.523045	0.0024171520957314463
13630440881.763527	0.002428268195818423
13670501002.004007	0.0024341718736734562
13710561122.244488	0.0024348292119347023
13750621242.484968	0.002430268636461908
13790681362.72545	0.0024205801246060215
13830741482.96593	0.0024059137117198245
